Title,Artists,Album,Album Release Date
Chilii (feat. SINI YASEMIN),"['Raappana', 'SINI YASEMIN']",TOP 10,2019-04-26
Spell On Me,['Adelén'],Spell On Me,2015-11-13
Now Your Gone,['Real Deal'],The Working Man's Emcee,2011-04-17
Best når jeg er full,['Robin og Bugge'],Best Når Jeg Er Full,2015-04-10
We Own The Night,['The Wanted'],Word Of Mouth (Deluxe),2013-01-01
Just Can't Let Her Go,['Isac Elliot'],Follow Me,2014-11-03
"Day One (feat. Big L, A.G., Lord Finesse, & O.C.)","['Diamond D', 'Big L', 'A.G.', 'Lord Finesse,', 'O.C']",Rare & Unreleased,2007-12-18
Ambitionz Az A Ridah,['2Pac'],All Eyez On Me,1996-02-13
Gangsta Nation,['Westside Connection'],Terrorist Threats,2003-12-09
All Eyez On Me,['2Pac'],All Eyez On Me,1996-02-13
Real Muthaphuckkin G's,['Eazy-E'],It's On (Dr. Dre) 187um Killa,1993
Back That Azz Up,"['JUVENILE', 'Lil Wayne', 'Mannie Fresh']",Greatest Hits,2004-01-01
Gettin' It (feat. Parliament Funkadelic),"['Too $hort', 'Parliament Funkadelic']",Gettin' It (Album Number Ten),1996-05-21
Crush on You,"[""Lil' Kim""]",Hard Core,1996
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"['Eiffel 65', 'Gabry Ponte']",Blue (Da Ba Dee),1998-11-11
L'Amour Toujours,"[""Gigi D'Agostino""]",Top 100 Greatest Dance Hits,2011-01-14
It Wasn't Me,"['Shaggy', 'Rik Rok']",Hot Shot (International Version #2),2000
Get A Way,['Maxx'],To The Maxximum,1994
Mr. Vain - Original Radio Edit,['Culture Beat'],Mr. Vain,1993-01-01
Everybody (Backstreet's Back) - Radio Edit,['Backstreet Boys'],The New Best Of (All Hits & Remixes) 2016,2016-06-03
Forgot About Dre,"['Dr. Dre', 'Eminem']",2001,1999-11-16
It's Gonna Be Me,['*NSYNC'],No Strings Attached,2000-03-21
"Rhythm Is A Dancer - 7"" Edit",['SNAP!'],SNAP! The Power Greatest Hits,2009-10-19
"Freed From Desire - prod. Molella, Phil Jay","['Gala', 'Molella', 'Phil Jay']",Come Into My Life (The Album),1997-11-17
Can't Nobody Hold Me Down (feat. Mase),"['Diddy', 'Mase']",No Way Out,1997
Smells Like Teen Spirit,['Nirvana'],Nevermind (Deluxe Edition),1991-09-26
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"['Pras', ""Ol' Dirty Bastard"", 'Mýa']",Ghetto Supastar,1998-10-03
I Will Always Love You - Film Version,['Whitney Houston'],I Wish You Love: More From The Bodyguard,2017-11-17
Genie In a Bottle,['Christina Aguilera'],Christina Aguilera (Expanded Edition),1999
You,['La Cream'],La Cream,2003-01-01
Rhythm Of Love - Original Radio Edit,['DJ Sequenza'],Rhythm Of Love,2010-04-12
Fly High,['Me & My'],Fly High,2001-04-27
This Is How We Do It,['Solid Base'],Express,1999-01-01
Show me colours,['Masterboy'],Colours,2005-01-15
Naked In The Rain,['Infinity'],Naked In The Rain,2001-10-19
Bla Bla Bla,"[""Gigi D'Agostino""]",Ultimate Workout Volume 1: Electronic & Dance,2008-02-26
Popcorn - Radio Version,['Richi M.'],Songs Of Tomorrow,2000-06-06
Get Me - Radio Edit,['Reset'],Get Me,1999-08-04
U Drive Me Crazy,"[""Waldo's People""]",Waldo's People,1998-05-05
Sex On The Phone,['E-Rotic'],Sex Affairs,1995
We’re Going to Ibiza!,['Vengaboys'],We're Going to Ibiza!,1998
Superhero,['Daze'],Super Heroes,1997
Yli susta,['costee'],Ehkä joskus tää viel naurattaa,2019-05-24
Sinä 4ever,['Ellinoora'],Vaaleanpunainen vallankumous,2019-08-30
Tuntematon,['Haloo Helsinki!'],Tuntematon,2017-09-15
Parvekkeella,"['Ida Paul & Kalle Lindroth', 'Ida Paul', 'Kalle Lindroth']",Nää kaikki kertoo susta,2018-03-09
Teen Mitä Haluun,"['Spekti', 'Setä Tamu']",Diktaattorimies,2013-01-01
The Good Life,['Hannah Montana'],Hannah Montana The Movie,2009-01-01
Offline (feat. Ollie),"['Arttu Lindeman', 'Ollie']",OFFLINE,2017-09-29
Hei Scully,['Kuningas Pähkinä & Setä Tamu'],Hei Scully,2012-12-19
Turvallista sotaa,['Vesta'],Lohtulauseita,2018-03-23
Lambada,['Sini Sabotage'],22m²,2013-12-05
Doupein (feat. Pete Parkkonen),"['Bang For The Buck', 'Pete Parkkonen']",Doupein (feat. Pete Parkkonen),2016-05-20
Parasta just nyt,"['Robin Packalen', 'Nikke Ankara']",16 (Deluxe),2014-01-01
Alpha Omega,['Cheek'],Alpha Omega,2015-10-16
Ylöspäin,['TIPPA'],White,2015-06-17
Ei Mitään Jiitä,['Adi L Hasla'],Pieni Punainen Kana,2017-11-01
"Me ollaan ne Pt. 2 (feat. Nikke Ankara, Elastinen, JVG, Kube & Pete Parkkonen)","['Cheek', 'Elastinen', 'JVG', 'Kube', 'Nikke Ankara', 'Pete Parkkonen']",Timantit on ikuisia,2018-08-17
Gas Pedal - Remix,"['Sage The Gemini', 'Justin Bieber', 'Iamsu!']",Remember Me,2014-03-25
Heaven,"['DJ Sammy', 'Yanou', 'Do']",Heaven,2002-08-06
Seuraavassa elämässä,['Kaija Koo'],Tuulikello,1995-05-03
Eka tääl,['costee'],Ehkä joskus tää viel naurattaa,2019-05-24
On elämä laina,['Erin'],Hunningolla,2011-05-16
Mehu,['TIPPA'],Nuari kukko,2014-08-08
Kalenteris tyhjää,"['Mäkki', 'Ruma']",Ihan pomona,2015-02-16
Rockabye (feat. Sean Paul & Anne-Marie),"['Clean Bandit', 'Sean Paul', 'Anne-Marie']",What Is Love? (Deluxe Edition),2018-11-30
Why I'm Single,['Alli Simpson'],Why I'm Single,2013-06-11
Kuka sen opettaa,['Kaija Koo'],Kuka sen opettaa,2014-04-11
Take A Picture,['Carly Rae Jepsen'],Take A Picture,2013-01-01
Jallutyttö,['Pää-äijät'],Jallutyttö,2016-04-03
Kohta sataa,['Pete Parkkonen'],TOP 10,2018-08-17
Veitset,['Ellinoora'],Vaaleanpunainen vallankumous,2019-08-30
Judas - DJ White Shadow Remix,"['Lady Gaga', 'DJ White Shadow']",Born This Way (International Special Edition Version),2011-05-23
Who Needs Love,['Trippie Redd'],A Love Letter To You 4,2019-11-22
Bury Me,['View'],Bury Me,2019-11-15
fOoL fOr YoU,['ZAYN'],Mind Of Mine (Deluxe Edition),2016-03-25
everything i wanted,['Billie Eilish'],everything i wanted,2019-11-13
Memories,['Maroon 5'],Memories,2019-09-20
Don't Start Now,['Dua Lipa'],Don't Start Now,2019-10-31
Lose You To Love Me,['Selena Gomez'],Lose You To Love Me,2019-10-23
Someone You Loved,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,2019-05-17
RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",RITMO (Bad Boys For Life),2019-10-12
Watermelon Sugar,['Harry Styles'],Watermelon Sugar,2019-11-17
Masokisti,['ABREU'],Teipillä tai rakkaudella,2019-11-15
Teipillä tai rakkaudella,['ABREU'],Teipillä tai rakkaudella,2019-11-15
ICY GRL,['Saweetie'],High Maintenance,2018-03-16
Torn,['Ava Max'],Torn,2019-08-19
Trendsetter,['24kGoldn'],Trendsetter,2018-01-04
Immortal,['21 Savage'],Immortal,2019-10-31
BOP,['DaBaby'],KIRK,2019-09-27
Suge,['DaBaby'],Baby On Baby,2019-03-01
Ballin' (with Roddy Ricch),"['Mustard', 'Roddy Ricch']",Perfect Ten,2019-06-28
Yellow Hearts,['Ant Saunders'],Yellow Hearts,2019-06-18
Camelot,['NLE Choppa'],Camelot,2019-09-13
Follow God,['Kanye West'],JESUS IS KING,2019-10-25
223's (feat. 9lokknine),"['YNW Melly', '9lokknine']",223's (feat. 9lokknine),2019-08-09
Bandit (with YoungBoy Never Broke Again),"['Juice WRLD', 'YoungBoy Never Broke Again']",Bandit (with YoungBoy Never Broke Again),2019-10-04
ROXANNE,['Arizona Zervas'],ROXANNE,2019-10-10
Writing on the Wall (feat. Post Malone & Cardi B),"['French Montana', 'Rvssian', 'Post Malone', 'Cardi B']",Writing on the Wall (feat. Post Malone & Cardi B),2019-09-27
Nice To Meet Ya,['Niall Horan'],Nice To Meet Ya,2019-10-04
Hei rakas,['BEHM'],Hei rakas,2019-09-20
Take What You Want (feat. Ozzy Osbourne & Travis Scott),"['Post Malone', 'Ozzy Osbourne', 'Travis Scott']",Hollywood's Bleeding,2019-09-06
Starboy,['Sexmane'],Sextape,2019-10-17
I Wanna Rock (feat. Gunna),"['G-Eazy', 'Gunna']",I Wanna Rock (feat. Gunna),2019-10-15
hot girl bummer,['blackbear'],hot girl bummer,2019-08-23
SILTI,['NCO'],SILTI,2019-08-02
Veitola,"['NCO', 'ibe']",Veitola,2019-08-28
Sweettalk my Heart,['Tove Lo'],Sunshine Kitty,2019-09-20
Lights Up,['Harry Styles'],Lights Up,2019-10-11
What Dreams Are Made Of,['Trisha Paytas'],What Dreams Are Made Of,2019-05-29
Poikien vessa (feat. costee),"['Mouhous', 'costee']",Poikien vessa (feat. costee),2019-12-06
Lonely,['Noah Cyrus'],Lonely,2019-09-27
you were good to me,"['Jeremy Zucker', 'Chelsea Cutler']",brent,2019-05-03
Devil Eyes,['Hippie Sabotage'],Providence,2016-02-05
All Time Low,['Jon Bellion'],The Human Condition,2016-06-10
Pull Up,['Luh Kel'],Pull Up,2019-07-30
Like a Rodeo,['Kane Brown'],Experiment,2019-07-12
How You Feel? (Freestyle) (feat. Lil Yachty & Ski Mask The Slump God),"['DJ Scheme', 'Danny Towers', 'Lil Yachty', 'Ski Mask The Slump God']",Preseason EP,2019-07-30
Hey Julie! (feat. Lil Yachty),"['KYLE', 'Lil Yachty']",Hey Julie! (feat. Lil Yachty),2018-12-03
The Box,['Roddy Ricch'],Please Excuse Me for Being Antisocial,2019-12-06
Luota Muhun,['ibe'],Luota Muhun,2019-12-25
Futsal Shuffle 2020,['Lil Uzi Vert'],Futsal Shuffle 2020,2019-12-12
Falling,['Trevor Daniel'],Falling,2018-10-05
OUT WEST (feat. Young Thug),"['JACKBOYS', 'Travis Scott', 'Young Thug']",JACKBOYS,2019-12-27
On Somebody,['Ava Max'],On Somebody,2019-12-10
Mama,['Sexmane'],Sextape,2019-10-17
2naamaa,['Sexmane'],Sextape,2019-10-17
Case 19 (feat. 6ix9ine),"['Jasiah', '6ix9ine']",Jasiah I Am,2019-07-19
Marco de BIH,"['Sexmane', 'Ege Zulu']",Sextape,2019-10-17
Juicy,"['Doja Cat', 'Tyga']",Hot Pink,2019-11-07
Yummy,['Justin Bieber'],Yummy,2020-01-03
Blinding Lights,['The Weeknd'],Blinding Lights,2019-11-29
Adore You,['Harry Styles'],Fine Line,2019-12-13
Suicidal,['YNW Melly'],Melly vs. Melvin,2019-11-22
My Oh My (feat. DaBaby),"['Camila Cabello', 'DaBaby']",Romance,2019-12-06
No Idea,['Don Toliver'],No Idea,2019-05-29
Watermelon Sugar,['Harry Styles'],Fine Line,2019-12-13
She's So Nice,['Pink Guy'],Pink Season,2017-01-04
One Call Away,['Shaaye'],One Call Away,2019-12-19
Fake ID,"['Riton', 'Kah-Lo']",Fake ID,2017-12-16
Bands,['Comethazine'],Bawskee,2018-08-24
Top for a Pancake,['3NIGMA'],Top for a Pancake,2019-07-09
SUGAR,['BROCKHAMPTON'],GINGER,2019-08-23
Say So,['Doja Cat'],Hot Pink,2019-11-07
,[''],,0000
Guillotine,['Death Grips'],Guillotine,2011-08-03
Opeta mut elämään,['costee'],Ehkä joskus tää viel naurattaa,2019-05-24
Satuta mua kunnolla,['costee'],Satuta mua kunnolla,2019-09-13
Kunnes kuollaan,['costee'],Kunnes kuollaan,2019-11-29
Eka tääl,['costee'],Eka tääl,2019-02-01
Y U Gotta B Like That,['Audrey Mika'],Y U Gotta B Like That,2019-06-02
Hungry Hippo,['Tierra Whack'],Whack World,2018-05-30
Pretty Face,['King Staccz'],Pretty Face,2019-02-08
Take Your Man,['Mahogany Lox'],Take Your Man,2019-10-18
STUPID (feat. Yung Baby Tate),"['Ashnikko', 'Baby Tate']","Hi, It's Me",2019-07-12
Back Up (feat. Big Sean),"['DeJ Loaf', 'Big Sean']",#AndSeeThatsTheThing,2015-07-31
Baby I'm Yours,"['Breakbot', 'Irfane']",By Your Side,2012-09-17
Personal,['HRVY'],Talk To Ya - EP,2017-11-30
U Was At The Club (Bottoms Up),['The Boyboy West Coast'],U Was At The Club (Bottoms Up),2019-04-19
Hellcat,['Weiland'],Hellcat,2020-01-02
Weekdays,['Ori'],Weekdays,2019-06-14
Forget Me Thots,['Yung Gravy'],Yung Gravity - EP,2017-05-01
"Flex (Ooh, Ooh, Ooh)",['Rich Homie Quan'],Summer Sampler,2015-06-02
Dissolve,"['Absofacto', 'NITESHIFT']",Thousand Peaces,2017-11-03
Kung Fu,['Cordae'],Kung Fu,2018-07-13
Ooh Ahh (My Life Be Like) (feat. Toby Mac),"['Grits', 'TobyMac']",The Art of Translation,2002-08-06
Just Did a Bad Thing,['Bill Wurtz'],Just Did a Bad Thing,2018-12-18
Oh Nanana - Remix,"['dj 6rb', 'Bonde R300', 'xang', 'mayklove']",Oh Nanana (Remix),2018-09-17
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],['Getter Jaani'],Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],2018-12-14
Geek'd (feat. Lil Baby),"['Bhad Bhabie', 'Lil Baby']",15,2018-09-18
who dat boi,"['bbno$', 'lentra', 'So Loki']",who dat boi,2017-11-21
Pretty Brown Eyes,['Cody Simpson'],Surfers Paradise,2013-07-12
Mia Khalifa,['iLOVEFRiDAY'],Mia Khalifa,2018-12-14
Big And Chunky,['will.i.am'],Madagascar: Escape 2 Africa - Music From The Motion Picture,2008-01-01
All In,['ZaeHD & CEO'],All In,2018-10-17
Act My Age,['One Direction'],FOUR (Deluxe),2014-11-17
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,"['SHAUN', 'Conor Maynard', 'Sam Feldt']",Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],2018-12-21
Huncho Show,['Huncho'],Da Huncho Show (Season 1),2018-10-31
"When Can I See You Again? - From ""Wreck-It Ralph""/Soundtrack Version",['Owl City'],Wreck-It Ralph,2012-01-01
Buttercup,['Jack Stauber'],Pop Food,2017-03-25
1 Thot 2 Thot Red Thot Blue Thot,['Yung Gravy'],Snow Cougar,2018-05-04
Shake It,['Metro Station'],Metro Station,2007-09-18
Good Girls Bad Guys,['Falling In Reverse'],The Drug In Me Is You,2011-07-26
Jumpshot,['Dawin'],Sunday,2016-07-29
Lemon (feat. Drake) - Drake Remix,"['N.E.R.D', 'Rihanna', 'Drake']",Lemon (feat. Drake) [Drake Remix],2018-03-18
Gm Say It Back,['Killua the Pilgrim'],Gm Say It Back,2018-10-14
same squad,['P-Lo'],PRIME,2018-07-20
Blueberry faygo,"['Yung Anime', 'LILMozart']",Blueberry faygo,2019-12-30
Blueberry Faygo !,['Eternal Flames'],Blueberry Faygo !,2019-12-27
Tia Tamera (feat. Rico Nasty),"['Doja Cat', 'Rico Nasty']",Amala (Deluxe Version),2019-03-01
Cyber Sex,['Doja Cat'],Hot Pink,2019-11-07
Won't Bite (feat. Smino),"['Doja Cat', 'Smino']",Hot Pink,2019-11-07
Rules,['Doja Cat'],Hot Pink,2019-11-07
Like That (feat. Gucci Mane),"['Doja Cat', 'Gucci Mane']",Hot Pink,2019-11-07
Talk Dirty,['Doja Cat'],Hot Pink,2019-11-07
Addiction,['Doja Cat'],Hot Pink,2019-11-07
Streets,['Doja Cat'],Hot Pink,2019-11-07
Shine,['Doja Cat'],Hot Pink,2019-11-07
Better Than Me,['Doja Cat'],Hot Pink,2019-11-07
Breezeblocks,['alt-J'],An Awesome Wave,2012-09-18
Cocaine Drip,['Handsome Luke'],Cocaine Drip,2020-01-09
Falling,['Sophia Annello'],Falling,2018-09-28
Watch You Leave,['Brayden'],Watch You Leave,2019-12-13
The Grave,['Jeff Kush'],The Grave,2020-01-01
Peppa Pig (Prod. Y2K),['Leyla Blue'],Peppa Pig (Prod. Y2K),2020-01-10
Beachboy,['McCafferty'],Beachboy,2014-01-01
Loving Is Easy (feat. Benny Sings),"['Rex Orange County', 'Benny Sings']",Loving Is Easy (feat. Benny Sings),2017-10-11
Love Me,['Ness The Kid'],Love Me,2019-11-23
Cheat Codes for Hoes,"['Shotgun Willy', 'TRAQULA']",Cheat Codes for Hoes,2018-05-23
Sin City,['Chrishan'],"TieDye, Pt. 1",2015-08-04
Jump in the Line,['Harry Belafonte'],Jump Up Calypso,1961-07-21
Change Ya Life,['Haiti Babii'],Change Ya Life,2018-12-05
Two®,['Lil Uzi Vert'],Luv Is Rage 2 (Deluxe),2017-11-17
Sauce It Up,['Lil Uzi Vert'],Luv Is Rage 2 (Deluxe),2017-11-17
444+222,['Lil Uzi Vert'],Luv Is Rage 2 (Deluxe),2017-11-17
Early 20 Rager,['Lil Uzi Vert'],Luv Is Rage 2 (Deluxe),2017-11-17
X,['Lil Uzi Vert'],Luv Is Rage 2 (Deluxe),2017-11-17
Dark Queen,['Lil Uzi Vert'],Luv Is Rage 2 (Deluxe),2017-11-17
Pretty Little Fears (feat. J. Cole),"['6LACK', 'J. Cole']",East Atlanta Love Letter,2018-09-14
Lost on You,['LP'],Lost on You,2016-12-09
I.F.L.Y.,['Bazzi'],Soul Searching,2019-08-09
Losin Control,['Russ'],There's Really A Wolf,2017-05-05
It's You,['Ali Gatie'],It's You,2019-06-14
Hollywood's Bleeding,['Post Malone'],Hollywood's Bleeding,2019-09-06
Saint-Tropez,['Post Malone'],Hollywood's Bleeding,2019-09-06
Enemies (feat. DaBaby),"['Post Malone', 'DaBaby']",Hollywood's Bleeding,2019-09-06
Die For Me (feat. Future & Halsey),"['Post Malone', 'Halsey', 'Future']",Hollywood's Bleeding,2019-09-06
Heaven In Hiding,['Halsey'],hopeless fountain kingdom (Deluxe),2017-06-02
Now Or Never,['Halsey'],hopeless fountain kingdom (Deluxe),2017-06-02
Angel On Fire,['Halsey'],hopeless fountain kingdom (Deluxe),2017-06-02
Sober,['Demi Lovato'],Sober,2018-06-21
Suicidal Thoughts,"['Josh A', 'iamjakehill']",Better off Dead,2017-10-19
16 Lines,['Lil Peep'],"Come Over When You're Sober, Pt. 2",2018-11-09
end (stripped.),['Jeremy Zucker'],stripped.,2018-02-02
Supermarket Flowers,['Ed Sheeran'],÷ (Deluxe),2017-03-03
i can't breathe,['Bea Miller'],aurora,2018-02-23
Homesick,['Dua Lipa'],Dua Lipa (Deluxe),2017-06-02
i love you,['Billie Eilish'],"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
Six Feet Under,['Billie Eilish'],Six Feet Under,2016-11-17
listen before i go,['Billie Eilish'],"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
Tell Me Why I'm Waiting,['Timmies'],Passion & Confusion,2017-09-21
Bruises,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,2019-05-17
In The Party,['Flo Milli'],In The Party,2019-10-28
Oblivion,['Grimes'],Visions,2012-03-12
Forever,['Labrinth'],Euphoria (Original Score from the HBO Series),2019-10-04
Animal,['Sir Chloe'],Animal,2019-02-28
Play Date,['Melanie Martinez'],Cry Baby (Deluxe Edition),2015-08-14
Still Don't Know My Name,['Labrinth'],Euphoria (Original Score from the HBO Series),2019-10-04
When I Rule the World,['LIZ'],When I Rule the World,2015-07-17
Maniac,['Conan Gray'],Maniac,2019-10-25
Death,"['Trippie Redd', 'DaBaby']",A Love Letter To You 4,2019-11-22
Ophelia,['The Lumineers'],Cleopatra,2016-04-08
Stay High - Habits Remix,"['Tove Lo', 'Hippie Sabotage']",Queen Of The Clouds,2014-09-24
Birthday Suit,['Cosmo Sheldrake'],The Much Much How How and I (Deluxe Edition),2019-04-05
The Search,['NF'],The Search,2019-07-26
Chanel,['Frank Ocean'],Chanel,2017-03-10
One Two,['Ugly God'],Bumps & Bruises (Deluxe),2019-08-09
better off,"['Jeremy Zucker', 'Chelsea Cutler']",better off,2018-04-20
Nothing Breaks Like a Heart (feat. Miley Cyrus),"['Mark Ronson', 'Miley Cyrus']",Late Night Feelings,2019-06-21
Touch,['Sleeping At Last'],Atlas: II,2019-11-01
I Lost a Friend,['FINNEAS'],I Lost a Friend,2019-05-03
Ribs,['Lorde'],Pure Heroine,2013-09-27
Points of View,['Abandoning Sunday'],Wait,2015-06-16
July,['Noah Cyrus'],July,2019-07-31
Numb,['Brennan Savage'],Numb,2017-07-11
I'm Sick of Trying,['Vaboh'],I'm Sick of Trying,2018-05-16
STFU,"['mansionz', 'Spark Master Tape']",Mansionz,2017-03-24
HYVÄSTIT,['eetu'],eetu,2019-11-22
Valo pimeän,['Pyhimys'],Valo pimeän,2019-11-14
Hate Myself,['NF'],The Search,2019-07-26
I Wanted To Die Alone,['Donny'],Romantic Garbage,2017-10-09
weak when ur around,['blackbear'],dead,2015-06-02
DEAD TO ME,['blackbear'],ANONYMOUS,2019-04-26
slow down my thoughts,['Zachary Knowles'],feelings,2018-08-13
Mad World,"['Gary Jules', 'Michael Andrews']",Trading Snakeoil for Wolftickets,2001-01-01
worthless,['eli.'],the way we used to love.,2019-02-22
I'll Always Remember You,['Hannah Montana'],Hannah Montana Forever,2010-01-01
Orange Juice,['Melanie Martinez'],K-12,2019-09-06
enough,['916frosty'],enough,2018-03-20
Mistakes Before I'm Gone,['Vaboh'],Mistakes Before I'm Gone,2018-10-04
Last Night I Accepted Death W Open Arms,"['Lil Revive', 'Darko']",Slasher,2018-10-12
Moon,['Kid Francescoli'],Play Me Again,2017-03-03
Hot Rod,['Dayglow'],Fuzzybrain,2019-11-14
Summer Luv (feat. Crystal Fighters) - Chrome Sparks Remix,"['Whethan', 'The Knocks', 'Crystal Fighters', 'Chrome Sparks']",Summer Luv (feat. Crystal Fighters) [Chrome Sparks Remix],2019-10-11
Good Nights (feat. Mascolo),"['Whethan', 'Mascolo']","Life of a Wallflower, Vol. 1",2018-11-09
The Less I Know The Better,['Tame Impala'],Currents,2015-07-17
Alright,['Supergrass'],I Should Coco,1995-05-15
Magic In The Hamptons (feat. Lil Yachty),"['Social House', 'Lil Yachty']",Magic In The Hamptons (feat. Lil Yachty),2018-06-08
Kill The Lights (with Nile Rodgers) - Audien Remix,"['Alex Newell', 'Jess Glynne', 'DJ Cassidy', 'Nile Rodgers', 'Audien']",Kill The Lights (with Nile Rodgers) [Remixes],2016-04-15
Better,['Khalid'],Suncity,2018-10-18
Youngblood,['5 Seconds of Summer'],Youngblood (Deluxe),2018-06-15
Tongue Tied,['GROUPLOVE'],Never Trust a Happy Song,2011-09-02
Weekend - Lexxmatiq Remix,"['Louis The Child', 'Icona Pop', 'Lexxmatiq']",Weekend (Remixes),2016-09-02
Amour plastique,"['Videoclub', 'Adèle Castillon', 'Mattyeux']",Amour plastique,2018-09-08
Why,['Bazzi'],COSMIC,2018-04-12
Party People,['Vince Staples'],Big Fish Theory,2017-06-23
Caskets,"['Party Favor', 'NJOMZA', 'FKi 1st']",Caskets (feat. FKi 1st),2017-06-09
All My Friends (feat. Tinashe & Chance the Rapper),"['Snakehips', 'Tinashe', 'Chance the Rapper']",All My Friends (feat. Tinashe & Chance the Rapper),2015-10-21
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX","['Lorde', 'Khalid', 'Post Malone', 'SZA']","Homemade Dynamite (Feat. Khalid, Post Malone & SZA) [REMIX]",2017-09-14
Sunday Best,['Surfaces'],Where the Light Is,2019-01-06
Flaming Hot Cheetos,['Clairo'],Flaming Hot Cheetos,2017-06-14
Fast Car,"['Jonas Blue', 'Dakota']",Fast Car,2015-12-04
Pretty Girl,['Clairo'],Pretty Girl,2017-08-04
New Flesh,['Current Joys'],Wild Heart,2013-01-02
Electric Love,['BØRNS'],Dopamine,2015-10-16
Lautturi,['PMMP'],Veden varaan,2009-03-12
Valokuvia,['Mamba'],20 Suosikkia / Mitä yhdestä särkyneestä sydämestä,1994-08-08
Jäätä (feat. Marja),"['Tuomas Kauhanen', 'Marja']",Sano vaan Tuomas,2013-05-27
Pintakaasulla,['JVG'],Pintakaasulla,2019-12-13
Fuck the World,['Pyhimys'],MIKKO,2020-01-03
v!@%#mikko,['Pyhimys'],MIKKO,2020-01-03
Salt,['Ava Max'],Salt,2019-12-12
Life Is Good (feat. Drake),"['Future', 'Drake']",Life Is Good (feat. Drake),2020-01-10
"Alone, Pt. II","['Alan Walker', 'Ava Max']","Alone, Pt. II",2019-12-27
Valo pimeän,['Pyhimys'],MIKKO,2020-01-03
Turta,['Adi L Hasla'],Turta,2020-01-10
Rare,['Selena Gomez'],Rare,2020-01-10
You should be sad,['Halsey'],You should be sad,2020-01-10
Pohjolan pidot (feat. Ilkka Vainio ja Levi-Äijä),"['Pasi ja Anssi', 'Ilkka Vainio', 'Levi-Äijä']",Pohjolan pidot (feat. Ilkka Vainio ja Levi-Äijä),2010
Before You Go,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22
Vuonna nolla,"['Ida Paul & Kalle Lindroth', 'Ida Paul', 'Kalle Lindroth']",Vuonna nolla,2019-12-13
Jos tuut mua vastaan (feat. la haka),"['WIL', 'la haka']",Jos tuut mua vastaan (feat. la haka),2019-12-06
I Miss Having Sex But At Least I Don't Wanna Die Anymore,['Waterparks'],FANDOM,2019-10-11
Peruskeissi,['Lauri Haav'],VOLUME,2019-12-13
BLEACH,['BROCKHAMPTON'],SATURATION III,2017-12-15
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),"['Megan Thee Stallion', 'Ty Dolla $ign', 'Nicki Minaj']",Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019-08-09
I BEEN BORN AGAIN,['BROCKHAMPTON'],I BEEN BORN AGAIN,2019-08-01
Pohja laahaa (feat. Kube),"['Eevil Stöö', 'OPA', 'Pehmee Goo', 'Kube']",Pohja laahaa (feat. Kube),2019-08-02
Can I,['Drake'],Care Package,2019-08-02
Moonlight,['Ali Gatie'],Moonlight,2018-08-03
Days Like This (feat. Khalid),"['GoldLink', 'Khalid']",Diaspora,2019-06-12
Focus (feat. 21 Savage),"['Bazzi', '21 Savage']",Focus (feat. 21 Savage),2019-06-13
G Walk (with Chris Brown),"['Lil Mosey', 'Chris Brown']",G Walk (with Chris Brown),2019-06-07
GRoCERIES,"['Chance the Rapper', 'TisaKorean', 'Murda Beatz']",GRoCERIES,2019-05-17
Haute (feat. J Balvin & Chris Brown),"['Tyga', 'J Balvin', 'Chris Brown']",Haute (feat. J Balvin & Chris Brown),2019-06-05
Black Balloons Reprise,"['Flying Lotus', 'Denzel Curry']",Flamagra,2019-05-24
SPEEDBOAT,['Denzel Curry'],SPEEDBOAT,2019-05-22
Älä Sano,"['Fabe', 'SHRTY']",Älä Sano,2019-05-15
Hope,['Jesse Markin'],Hope,2019-04-05
Kuolleet kadut (feat. Paperi T),"['LIFE', 'Eevil Stöö', 'Paperi T']",Kuolleet kadut (feat. Paperi T),2019-05-10
Slide (feat. Blueface & Lil Tjay),"['French Montana', 'Blueface', 'Lil Tjay']",Slide (feat. Blueface & Lil Tjay),2019-04-16
Emotional (feat. Quavo),"['Saweetie', 'Quavo']",ICY,2019-03-29
Good Form (feat. Lil Wayne) - Remix,"['Nicki Minaj', 'Lil Wayne']",Queen (Deluxe),2018-11-29
Confessions of a Dangerous Mind,['Logic'],Confessions of a Dangerous Mind,2019-03-22
ADRENALINE,"['RONNIE', 'Sideshow', 'ibe']",ADRENALINE,2019-03-12
Hotel Room Service,['Pitbull'],Pitbull Starring In Rebelution,2009-08-27
